City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Leningradskiy,RU,2021-11-01 01:37:22,69.3833,178.4167,-2.04,87,99,12.48,overcast clouds
60,Isangel,VU,2021-11-01 01:39:32,-19.55,169.2667,82.51,61,75,9.22,broken clouds
61,Kapaa,US,2021-11-01 01:35:33,22.0752,-159.319,82.38,78,90,1.99,light rain
62,Kodiak,US,2021-11-01 01:39:33,57.79,-152.4072,42.42,90,100,6.96,overcast clouds
63,Staraya Poltavka,RU,2021-11-01 01:39:34,50.4772,46.4814,41.76,67,0,6.89,clear sky
64,Saint George,US,2021-11-01 01:39:35,37.1041,-113.5841,72.25,37,1,1.01,clear sky
65,Hithadhoo,MV,2021-11-01 01:39:36,-0.6,73.0833,81.64,77,99,19.77,overcast clouds
66,Carnarvon,AU,2021-11-01 01:39:36,-24.8667,113.6333,71.67,60,75,18.41,broken clouds
67,Vanimo,PG,2021-11-01 01:36:32,-2.6741,141.3028,82.18,80,97,3.13,overcast clouds
68,Mangrol,IN,2021-11-01 01:39:37,21.1167,70.1167,74.28,41,7,7.92,clear sky
69,Ushuaia,AR,2021-11-01 01:38:27,-54.8,-68.3,46.06,76,0,9.22,clear sky
70,Teknaf,BD,2021-11-01 01:39:38,20.8624,92.3058,78.42,80,90,4.23,overcast clouds
71,Mahebourg,MU,2021-11-01 01:39:38,-20.4081,57.7,70.25,88,40,3.44,scattered clouds
72,Prainha,BR,2021-11-01 01:39:39,-1.8,-53.48,78.48,75,90,3.44,overcast clouds
73,Vila Velha,BR,2021-11-01 01:39:39,-20.3297,-40.2925,69.75,100,90,2.3,overcast clouds
74,Victoria,HK,2021-11-01 01:35:28,22.2855,114.1577,80.04,76,38,4.0,scattered clouds
75,Punta Arenas,CL,2021-11-01 01:39:40,-53.15,-70.9167,50.11,53,0,8.05,clear sky
76,Marzuq,YE,2021-11-01 01:39:41,14.4,46.4667,65.37,58,5,3.6,clear sky
77,Thompson,CA,2021-11-01 01:39:42,55.7435,-97.8558,30.36,80,75,10.36,light shower snow
78,Nouakchott,MR,2021-11-01 01:39:43,18.0858,-15.9785,82.33,50,100,15.61,overcast clouds
79,Dunedin,NZ,2021-11-01 01:39:43,-45.8742,170.5036,62.8,50,34,8.01,scattered clouds
80,Natal,BR,2021-11-01 01:37:44,-5.795,-35.2094,81.25,78,40,11.5,scattered clouds
81,Muriwai Beach,NZ,2021-11-01 01:39:44,-36.8167,174.45,65.43,58,39,12.44,scattered clouds
82,Viedma,AR,2021-11-01 01:39:08,-40.8135,-62.9967,49.05,77,100,6.64,overcast clouds
83,Bubaque,GW,2021-11-01 01:39:45,11.2833,-15.8333,82.87,75,88,10.74,overcast clouds
84,Dikson,RU,2021-11-01 01:39:45,73.5069,80.5464,5.72,93,97,11.12,overcast clouds
85,Jamsa,FI,2021-11-01 01:39:46,61.8642,25.19,46.35,92,72,5.68,broken clouds
86,Arraial Do Cabo,BR,2021-11-01 01:37:38,-22.9661,-42.0278,69.93,95,100,22.66,light rain
87,Barrow,US,2021-11-01 01:39:47,71.2906,-156.7887,24.82,80,1,14.97,clear sky
88,Sena Madureira,BR,2021-11-01 01:39:47,-9.0656,-68.6569,78.66,71,91,3.0,overcast clouds
89,Kampot,KH,2021-11-01 01:39:48,10.6167,104.1833,84.25,79,40,5.23,scattered clouds
90,Inuvik,CA,2021-11-01 01:39:48,68.3499,-133.7218,34.56,67,75,9.22,broken clouds
91,Gobabis,NA,2021-11-01 01:40:49,-22.45,18.9667,62.91,16,0,11.25,clear sky
92,Chumikan,RU,2021-11-01 01:40:49,54.7183,135.315,32.38,43,23,18.03,few clouds
93,Port Pirie,AU,2021-11-01 01:40:50,-33.1833,138.0167,77.09,17,17,11.7,few clouds
94,Haicheng,CN,2021-11-01 01:40:50,40.8516,122.7475,41.05,42,0,9.78,clear sky
95,Belaya Gora,RU,2021-11-01 01:40:51,68.5333,146.4167,-4.41,98,79,2.75,broken clouds
96,Man,CI,2021-11-01 01:40:52,7.4125,-7.5538,69.33,99,99,2.1,light rain
97,Longyearbyen,SJ,2021-11-01 01:36:16,78.2186,15.6401,33.64,69,40,20.71,scattered clouds
98,Pochutla,MX,2021-11-01 01:40:52,15.7432,-96.4661,76.82,92,66,3.36,broken clouds
99,Verkhnyaya Inta,RU,2021-11-01 01:40:53,65.9811,60.3094,2.75,89,5,6.85,clear sky
100,Hamilton,US,2021-11-01 01:40:07,39.1834,-84.5333,58.05,75,90,3.0,overcast clouds
101,Road Town,VG,2021-11-01 01:36:17,18.4167,-64.6167,80.69,67,5,12.75,clear sky
102,Castro,BR,2021-11-01 01:40:54,-24.7911,-50.0119,58.73,98,98,6.85,overcast clouds
103,Coolum Beach,AU,2021-11-01 01:40:55,-26.5333,153.1,75.11,58,84,4.0,broken clouds
104,Grosseto,IT,2021-11-01 01:40:55,42.8333,11.25,62.67,77,40,5.75,scattered clouds
105,Dong Hoi,VN,2021-11-01 01:37:55,17.4833,106.6,78.46,84,86,5.79,overcast clouds
